Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,114,2652,1501,1501,PETROL,M,1199,60
CITROEN,M1 ,M1 ,1109,110,2652,1501,1501,PETROL,M,1199,60
DS,M1 ,M1 ,1585,115,2612,1532,1532,DIESEL,M,1997,133
DS,M1 ,M1 ,1483,103,2612,1532,1532,DIESEL,M,1560,88
DS,M1 ,M1 ,1754,114,2727,1582,1582,DIESEL,M,1997,133
DS,M1 ,M1 ,1754,114,2727,1582,1582,DIESEL,M,1997,133
DS,M1 ,M1 ,1634,104,2727,1582,1582,DIESEL,M,1560,88
CITROEN,M1 ,M1 ,1754,118,2727,1582,1582,DIESEL,M,1997,133
CITROEN,M1 ,M1 ,2378,158,3450,1810,1810,DIESEL,M,1997,96
CITROEN,M1 ,M1 ,2378,158,3450,1810,1810,DIESEL,M,1997,96
CITROEN,M1 ,M1 ,2595,163,3450,1810,1810,DIESEL,M,1997,120
CITROEN,M1 ,M1 ,2378,158,3450,1810,1810,DIESEL,M,1997,120
CITROEN,M1 ,M1 ,2130,139,3275,1630,1630,DIESEL,M,1997,110
CITROEN,M1 ,M1 ,2118,137,3275,1630,1630,DIESEL,M,1560,85
CITROEN,M1 ,M1 ,2118,137,3275,1630,1630,DIESEL,M,1560,85
CITROEN,M1 ,M1 ,2118,137,3275,1630,1630,DIESEL,M,1560,85
CITROEN,M1 ,M1 ,2210,155,3275,1630,1630,DIESEL,M,1997,130
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1173,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1 ,M1 ,1280,90,2538,1470,1470,DIESEL,M,1560,55
PEUGEOT,M1 ,M1 ,1189,104,2538,1470,1470,PETROL,M,1199,60
VOLVO,M1,M1,1717,116,2941,1628,1629,DIESEL,M,1969,140
VOLVO,M1,M1,1717,116,2941,1628,1629,DIESEL,M,1969,140
VOLVO,M1,M1,1717,116,2941,1628,1629,DIESEL,M,1969,140
VOLVO,M1,M1,1712,149,2941,1617,1618,PETROL,M,1969,187
VOLVO,M1,M1,1712,149,2941,1617,1618,PETROL,M,1969,187
VOLVO,M1,M1,1799,165,2941,1617,1618,PETROL,M,1969,235
VOLVO,M1,M1,1799,165,2941,1617,1618,PETROL,M,1969,235
VOLVO,M1,M1,1731,154,2941,1617,1618,PETROL,M,1969,187
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1817,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1733,119,2941,1617,1618,DIESEL,M,1969,140
VOLVO,M1,M1,1733,119,2941,1617,1618,DIESEL,M,1969,140
VOLVO,M1,M1,1733,119,2941,1617,1618,DIESEL,M,1969,140
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1628,1629,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1825,129,2941,1617,1618,DIESEL,M,1969,173
VOLVO,M1,M1,1486,109,2647,1546,1533,DIESEL,M,1969,140
VOLVO,M1,M1,1448,99,2646,1552,1540,DIESEL,M,1969,88
VOLVO,M1,M1,1448,99,2646,1552,1540,DIESEL,M,1969,88
VOLVO,M1,M1,1448,99,2646,1552,1540,DIESEL,M,1969,88
VOLVO,M1,M1,1448,99,2646,1552,1540,DIESEL,M,1969,88
VOLVO,M1,M1,1448,99,2646,1552,1540,DIESEL,M,1969,88
VOLVO,M1,M1,1448,99,2646,1552,1540,DIESEL,M,1969,88
VOLVO,M1,M1,1437,101,2647,1546,1533,DIESEL,M,1969,110
VOLVO,M1,M1,1437,101,2647,1546,1533,DIESEL,M,1969,110
VOLVO,M1,M1,1437,101,2647,1546,1533,DIESEL,M,1969,110
VOLVO,M1,M1,1437,101,2647,1546,1533,DIESEL,M,1969,110
VOLVO,M1,M1,1453,104,2647,1551,1538,DIESEL,M,1969,110
VOLVO,M1,M1,1453,104,2647,1551,1538,DIESEL,M,1969,110
VOLVO,M1,M1,1453,104,2647,1546,1533,DIESEL,M,1969,110
VOLVO,M1,M1,1453,104,2647,1546,1533,DIESEL,M,1969,110
VOLVO,M1,M1,1453,104,2647,1546,1533,DIESEL,M,1969,110
VOLVO,M1,M1,1442,128,2647,1551,1538,PETROL,M,1969,140
VOLVO,M1,M1,1442,128,2647,1546,1533,PETROL,M,1969,140
VOLVO,M1,M1,1453,101,2647,1546,1533,DIESEL,M,1969,88
VOLVO,M1,M1,1453,101,2647,1546,1533,DIESEL,M,1969,88
VOLVO,M1,M1,1453,101,2647,1551,1538,DIESEL,M,1969,88
VOLVO,M1,M1,1435,129,2647,1546,1533,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1546,1533,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1546,1533,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1551,1538,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1546,1533,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1546,1533,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1546,1533,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1546,1533,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1551,1538,PETROL,M,1498,112
VOLVO,M1,M1,1435,129,2647,1551,1538,PETROL,M,1498,90
