,Country,ID,Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
52,BE,1218121,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
53,BE,1218126,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
54,BE,1218135,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
55,BE,1218138,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
56,BE,1218144,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
57,BE,1218152,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
58,BE,1218159,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
59,BE,1218167,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
60,BE,1218175,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
61,BE,1218183,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
62,BE,1218189,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
63,BE,1218196,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
64,BE,1218201,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
65,BE,1218205,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
66,BE,1218211,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
67,BE,1143014,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
68,BE,1143026,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
69,BE,1143035,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
70,BE,1143044,Renault,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,Petrol,M,1618.0,151.0
71,BE,1194941,Renault,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,Petrol,M,1618.0,151.0
72,BE,1194948,Renault,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,Petrol,M,1618.0,151.0
73,BE,1194955,Renault,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,Petrol,M,1618.0,151.0
74,BE,1194961,Renault,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,Petrol,M,1618.0,151.0
75,BE,1194969,Renault,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,Petrol,M,1618.0,151.0
76,BE,1194976,Renault,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,Petrol,M,1618.0,151.0
77,BE,1194979,Renault,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,Petrol,M,1618.0,151.0
78,BE,1194986,Renault,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,Petrol,M,1618.0,151.0
79,BE,1194995,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,66.0
80,BE,1195004,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,66.0
81,BE,1195010,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
82,BE,1195019,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
83,BE,1195027,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
84,BE,1195034,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
85,BE,1195040,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
86,BE,1195046,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
87,BE,1195053,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
88,BE,1195060,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
89,BE,1195068,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
90,BE,1195075,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
91,BE,1195080,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
92,BE,1195092,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
93,BE,1195105,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
94,BE,1195113,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
95,BE,1195123,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
96,BE,1195133,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
97,BE,1195138,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
98,BE,1195146,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
99,BE,1195153,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
100,BE,1195160,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
101,BE,1195167,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
102,BE,1195175,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
103,BE,1195183,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
104,BE,1195192,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
105,BE,1195198,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
106,BE,1195203,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
107,BE,1195213,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
108,BE,1195221,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
109,BE,1195226,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
110,BE,1195234,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
111,BE,1195244,Renault,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
112,BE,1195251,Renault,M1,M1,1443.0,98.0,2712.0,1574.0,1577.0,Diesel,M,1461.0,81.0
113,BE,1195258,Renault,M1,M1,1443.0,98.0,2712.0,1574.0,1577.0,Diesel,M,1461.0,81.0
114,BE,1195263,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
115,BE,1195270,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
116,BE,1195278,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
117,BE,1195284,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
118,BE,1195290,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
119,BE,1195298,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
