,ID,MS,Mp,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
26,3036080,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
27,3036122,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
28,3036130,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
29,3036138,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
30,3036146,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
31,3036301,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
32,3036315,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
33,3036328,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
34,3036396,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
35,3036403,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
36,3036408,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
37,3036626,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*06,RFB,BH2,A4662A010000,RENAULT,MEGANE,M1,M1,1393.0,103.0,2670.0,1596.0,1596.0,DIESEL,M,1598.0,96.0
38,3036634,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*06,RFB,BH2,A4662A010000,RENAULT,MEGANE,M1,M1,1393.0,103.0,2670.0,1596.0,1596.0,DIESEL,M,1598.0,96.0
39,3036640,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*06,RFB,KF2,MRB62B010000,RENAULT,MEGANE,M1,M1,1394.0,124.0,2712.0,1596.0,1596.0,PETROL,M,1197.0,97.0
40,3041999,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*98/14*0213*57,JL,JR9M,MH1000642A00,RENAULT,TRAFIC,M1,M1,1923.0,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
41,3042007,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*98/14*0213*57,JL,JR9M,MH1000642A00,RENAULT,TRAFIC,M1,M1,1923.0,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
42,3042015,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*98/14*0213*57,JL,JR9M,MH1000642A00,RENAULT,TRAFIC,M1,M1,1923.0,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
43,3042021,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*98/14*0213*57,JL,JR9M,MH1000642A00,RENAULT,TRAFIC,M1,M1,1923.0,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
44,3042032,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*01,RFA,JF2,MR6RVA015000,RENAULT,SCENIC,M1,M1,1505.0,129.0,2734.0,1602.0,1602.0,PETROL,M,1197.0,97.0
45,3042038,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*01,RFA,JH2,A36RVA015000,RENAULT,SCENIC,M1,M1,1505.0,100.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
46,3042046,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A5ARVA017000,RENAULT,SCENIC,M1,M1,1735.0,122.0,2804.0,1602.0,1602.0,DIESEL,M,1598.0,118.0
47,1218089,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
48,1218094,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
49,1218098,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
50,1218104,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
51,1218108,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
52,1218112,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
53,1218116,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
54,1218121,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
55,1218126,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
56,1218135,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
57,1218138,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
58,1218144,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
59,1218152,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
60,1218159,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
61,1218167,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
62,1218175,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
63,1218183,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
64,1218189,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
65,1218196,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
66,1218201,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
67,1218205,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
68,1218211,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
69,1143014,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
70,1143026,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
71,1143035,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
72,1143044,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467.0,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
409,1194941,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
410,1194948,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
411,1194955,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
412,1194961,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
413,1194969,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
414,1194976,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
415,1194979,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
416,1194986,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1505.0,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
417,1194995,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A1662A010000,RENAULT,MEGANE,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,66.0
418,1195004,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A1662A010000,RENAULT,MEGANE,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,66.0
419,1195010,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
420,1195019,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
421,1195027,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
422,1195034,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
423,1195040,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
424,1195046,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
425,1195053,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
426,1195060,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
427,1195068,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
428,1195075,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
429,1195080,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
430,1195092,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
431,1195105,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
432,1195113,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
433,1195123,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
434,1195133,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
435,1195138,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
436,1195146,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
437,1195153,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
