,ID,MS,Mp,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
2736,3451056,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RF2,MR6RVA017000,RENAULT,SCENIC,M1,M1,1560.0,136.0,2804.0,1602.0,1602.0,PETROL,M,1197.0,97.0
2737,3451064,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,JH2,A36RVA015000,RENAULT,SCENIC,M1,M1,1505.0,100.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2738,3451071,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A3BRVA017000,RENAULT,SCENIC,M1,M1,1615.0,104.0,2804.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2739,3451079,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A3BRVA017000,RENAULT,SCENIC,M1,M1,1615.0,104.0,2804.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2740,3451089,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,JF2,MR6RVA015000,RENAULT,SCENIC,M1,M1,1505.0,129.0,2734.0,1602.0,1602.0,PETROL,M,1197.0,97.0
2741,3451095,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RF2,MR6RVA017000,RENAULT,SCENIC,M1,M1,1560.0,136.0,2804.0,1602.0,1602.0,PETROL,M,1197.0,97.0
2742,3451102,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A5ARVA017000,RENAULT,SCENIC,M1,M1,1735.0,122.0,2804.0,1602.0,1602.0,DIESEL,M,1598.0,118.0
2743,3451112,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A36RVA017000,RENAULT,SCENIC,M1,M1,1607.0,104.0,2804.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2744,3451120,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,JH2,A36RVA015000,RENAULT,SCENIC,M1,M1,1505.0,100.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2745,3451128,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A3BRVA017000,RENAULT,SCENIC,M1,M1,1615.0,104.0,2804.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2746,3451135,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,JH2,A36RVA015000,RENAULT,SCENIC,M1,M1,1505.0,100.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2747,3451346,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2748,3451525,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2749,3451531,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2750,3451539,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2751,3451547,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2752,3451556,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*04,RFB,BH2,A4662A010000,RENAULT,MEGANE,M1,M1,1393.0,103.0,2670.0,1596.0,1596.0,DIESEL,M,1598.0,96.0
2753,3451563,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*05,RFB,KH2,A3662A010000,RENAULT,MEGANE,M1,M1,1387.0,95.0,2712.0,1596.0,1596.0,DIESEL,M,1461.0,81.0
2754,3451570,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*05,RFB,KH2,A3662A010000,RENAULT,MEGANE,M1,M1,1387.0,95.0,2712.0,1596.0,1596.0,DIESEL,M,1461.0,81.0
2755,3451576,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*05,RFB,KH2,A3662B010000,RENAULT,MEGANE,M1,M1,1394.0,100.0,2712.0,1596.0,1596.0,DIESEL,M,1461.0,81.0
2756,3451644,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2757,3451719,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2758,3451726,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2759,3451732,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2760,3452871,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2761,3452879,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5RKJ,5RKJ0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,66.0
2762,3452885,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5RKJ,5RKJ0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,66.0
2763,3452894,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB115,RENAULT,TWINGO,M1,M1,940.0,95.0,2492.0,1455.0,1455.0,PETROL,M,999.0,52.0
2764,3452898,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB115,RENAULT,TWINGO,M1,M1,940.0,95.0,2492.0,1455.0,1455.0,PETROL,M,999.0,52.0
2765,3452943,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*09,AH,B,40D,RENAULT,TWINGO,M1,M1,939.0,112.0,2492.0,1455.0,1455.0,PETROL,M,999.0,51.0
2766,3452949,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*09,AH,B,40D,RENAULT,TWINGO,M1,M1,939.0,112.0,2492.0,1455.0,1455.0,PETROL,M,999.0,51.0
2767,3452982,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2768,3452990,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2769,3452995,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2770,3453083,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2771,3453130,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0364*42,W,KW34,KW34B2,RENAULT,KANGOO,M1,M1,1395.0,140.0,2697.0,1521.0,1521.0,PETROL,M,1197.0,84.0
2772,3453136,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0364*42,W,KW34,KW34B2,RENAULT,KANGOO,M1,M1,1395.0,140.0,2697.0,1521.0,1521.0,PETROL,M,1197.0,84.0
2773,3453172,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2774,3453177,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2775,3453185,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2776,3453194,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5RKJ,5RKJ0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,66.0
2777,3453200,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,5RKJ,5RKJ0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,66.0
2778,3453207,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5RKJ,5RKJ0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,66.0
2779,3453215,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5RKJ,5RKJ0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,66.0
2780,3453261,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2781,3453263,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2782,3453276,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,5RKJ,5RKJ0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,66.0
2783,3453278,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5RKJ,5RKJ0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,66.0
2784,3453282,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*01,RFA,JH2,A3BRVA015000,RENAULT,SCENIC,M1,M1,1576.0,104.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2785,3453323,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,JH2,A46RVA015000,RENAULT,SCENIC,M1,M1,1615.0,116.0,2734.0,1602.0,1602.0,DIESEL,M,1598.0,96.0
2786,3453330,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*01,RFA,RH2,A46RVA015000,RENAULT,SCENIC,M1,M1,1615.0,119.0,2804.0,1602.0,1602.0,DIESEL,M,1598.0,96.0
2787,3453338,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A3BRVA017000,RENAULT,SCENIC,M1,M1,1615.0,104.0,2804.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2788,3453344,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A5ARVA017000,RENAULT,SCENIC,M1,M1,1735.0,122.0,2804.0,1602.0,1602.0,DIESEL,M,1598.0,118.0
2789,3453648,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2790,3453654,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2791,3453660,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2792,3453679,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2793,3453685,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*81,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2794,3453693,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,JF2,MR6RVA015000,RENAULT,SCENIC,M1,M1,1505.0,129.0,2734.0,1602.0,1602.0,PETROL,M,1197.0,97.0
2795,3453700,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,JH2,A3BRVA015000,RENAULT,SCENIC,M1,M1,1576.0,104.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
2796,3453738,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A46RVA017000,RENAULT,SCENIC,M1,M1,1676.0,119.0,2804.0,1602.0,1602.0,DIESEL,M,1598.0,96.0
2797,3453746,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*04,RFB,BF2,MR662A010000,RENAULT,MEGANE,M1,M1,1280.0,119.0,2670.0,1596.0,1596.0,PETROL,M,1197.0,97.0
2798,3453753,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*05,RFB,KH2,A3662A010000,RENAULT,MEGANE,M1,M1,1387.0,95.0,2712.0,1596.0,1596.0,DIESEL,M,1461.0,81.0
2799,3457042,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*06,RFB,BH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1386.0,95.0,2670.0,1596.0,1596.0,DIESEL,M,1461.0,81.0
2800,3457150,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,5R22,5R220A,RENAULT,CLIO,M1,M1,1157.0,114.0,2589.0,1509.0,1509.0,PETROL,M,898.0,66.0
2801,2460367,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2802,2460373,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2803,2460399,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2804,2460402,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2805,2460408,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2806,2460516,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2807,2460523,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2808,2460550,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2809,2460556,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2810,2460562,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2811,2460598,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*79,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
2812,2460603,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*79,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
2813,2460610,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*79,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
2814,2460614,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*79,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
2815,2460621,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*77,R,7R01,7R010K,RENAULT,CLIO,M1,M1,1280.0,90.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,81.0
2816,2460628,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*77,R,7R01,7R010K,RENAULT,CLIO,M1,M1,1280.0,90.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,81.0
2817,2460632,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*77,R,7R01,7R010K,RENAULT,CLIO,M1,M1,1280.0,90.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,81.0
2818,2460697,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB25A,RENAULT,TWINGO,M1,M1,1068.0,108.0,2492.0,1455.0,1455.0,PETROL,M,898.0,66.0
2819,2460703,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB25A,RENAULT,TWINGO,M1,M1,1068.0,108.0,2492.0,1455.0,1455.0,PETROL,M,898.0,66.0
2820,2460709,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB25A,RENAULT,TWINGO,M1,M1,1068.0,108.0,2492.0,1455.0,1455.0,PETROL,M,898.0,66.0
2821,2460715,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB25A,RENAULT,TWINGO,M1,M1,1068.0,108.0,2492.0,1455.0,1455.0,PETROL,M,898.0,66.0
2822,2460721,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*09,AH,B,44A,RENAULT,TWINGO,M1,M1,1048.0,102.0,2492.0,1455.0,1455.0,PETROL,M,999.0,51.0
2823,2457736,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2824,2457743,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2825,2457748,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2826,2457757,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB25A,RENAULT,TWINGO,M1,M1,1068.0,108.0,2492.0,1455.0,1455.0,PETROL,M,898.0,66.0
2827,2457765,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB25A,RENAULT,TWINGO,M1,M1,1068.0,108.0,2492.0,1455.0,1455.0,PETROL,M,898.0,66.0
2828,2457770,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB25A,RENAULT,TWINGO,M1,M1,1068.0,108.0,2492.0,1455.0,1455.0,PETROL,M,898.0,66.0
2829,2457777,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*08,AH,AHB,AHB25A,RENAULT,TWINGO,M1,M1,1068.0,108.0,2492.0,1455.0,1455.0,PETROL,M,898.0,66.0
2830,2457798,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2831,2457805,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2832,2457864,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2833,2457871,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2834,2457878,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2835,2457885,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2836,2457921,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*09,AH,B,44A,RENAULT,TWINGO,M1,M1,1048.0,102.0,2492.0,1455.0,1455.0,PETROL,M,999.0,51.0
2837,2457929,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*09,AH,B,44A,RENAULT,TWINGO,M1,M1,1048.0,102.0,2492.0,1455.0,1455.0,PETROL,M,999.0,51.0
2838,2457934,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*09,AH,B,44A,RENAULT,TWINGO,M1,M1,1048.0,102.0,2492.0,1455.0,1455.0,PETROL,M,999.0,51.0
2839,2457941,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0457*09,AH,B,44A,RENAULT,TWINGO,M1,M1,1048.0,102.0,2492.0,1455.0,1455.0,PETROL,M,999.0,51.0
2840,2457981,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0364*43,W,KW41,KW41B1,RENAULT,KANGOO,M1,M1,1395.0,112.0,2697.0,1521.0,1521.0,DIESEL,M,1461.0,66.0
2841,2457989,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0364*43,W,KW41,KW41B1,RENAULT,KANGOO,M1,M1,1395.0,112.0,2697.0,1521.0,1521.0,DIESEL,M,1461.0,66.0
2842,2457995,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0364*44,W,KW41,KW41B1,RENAULT,KANGOO,M1,M1,1395.0,112.0,2697.0,1521.0,1521.0,DIESEL,M,1461.0,66.0
2843,2458088,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2844,2458096,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*82,R,2R01,2R0115,RENAULT,CAPTUR,M1,M1,1275.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2845,2458168,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*79,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
2846,2458175,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*79,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
2847,2458241,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*77,R,7R01,7R010K,RENAULT,CLIO,M1,M1,1280.0,90.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,81.0
2848,2458245,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*77,R,7R01,7R010K,RENAULT,CLIO,M1,M1,1280.0,90.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,81.0
