ID,Mk,Category Type Approved,Category Registered,Ft,Fm
1195422,RENAULT,M1,M1,DIESEL,M
1195428,RENAULT,M1,M1,DIESEL,M
1195436,RENAULT,M1,M1,DIESEL,M
1195446,RENAULT,M1,M1,DIESEL,M
1195451,RENAULT,M1,M1,DIESEL,M
1195461,RENAULT,M1,M1,DIESEL,M
1195472,RENAULT,M1,M1,DIESEL,M
1195481,RENAULT,M1,M1,DIESEL,M
1195490,RENAULT,M1,M1,DIESEL,M
1195499,RENAULT,M1,M1,DIESEL,M
1195509,RENAULT,M1,M1,DIESEL,M
1195515,RENAULT,M1,M1,DIESEL,M
1195520,RENAULT,M1,M1,DIESEL,M
1195528,RENAULT,M1,M1,DIESEL,M
1195538,RENAULT,M1,M1,DIESEL,M
1195545,RENAULT,M1,M1,DIESEL,M
1195555,RENAULT,M1,M1,DIESEL,M
1195559,RENAULT,M1,M1,DIESEL,M
1195568,RENAULT,M1,M1,DIESEL,M
1195575,RENAULT,M1,M1,DIESEL,M
1195584,RENAULT,M1,M1,DIESEL,M
1195591,RENAULT,M1,M1,DIESEL,M
1195598,RENAULT,M1,M1,DIESEL,M
1195605,RENAULT,M1,M1,DIESEL,M
1195614,RENAULT,M1,M1,DIESEL,M
1195624,RENAULT,M1,M1,DIESEL,M
1195633,RENAULT,M1,M1,DIESEL,M
1195645,RENAULT,M1,M1,DIESEL,M
1195653,RENAULT,M1,M1,DIESEL,M
1195661,RENAULT,M1,M1,DIESEL,M
1195669,RENAULT,M1,M1,DIESEL,M
1195677,RENAULT,M1,M1,DIESEL,M
1195686,RENAULT,M1,M1,DIESEL,M
1195694,RENAULT,M1,M1,DIESEL,M
1195702,RENAULT,M1,M1,DIESEL,M
1195709,RENAULT,M1,M1,DIESEL,M
1195716,RENAULT,M1,M1,DIESEL,M
1195722,RENAULT,M1,M1,DIESEL,M
1195731,RENAULT,M1,M1,DIESEL,M
1195738,RENAULT,M1,M1,DIESEL,M
1195746,RENAULT,M1,M1,DIESEL,M
1195755,RENAULT,M1,M1,DIESEL,M
1195763,RENAULT,M1,M1,DIESEL,M
1195771,RENAULT,M1,M1,DIESEL,M
1195781,RENAULT,M1,M1,DIESEL,M
4359656,OPEL,M1,M1,Petrol,M
4359663,OPEL,M1,M1,Petrol,M
4359669,OPEL,M1,M1,Petrol,M
4359676,OPEL,M1,M1,Petrol,M
4359684,OPEL,M1,M1,Petrol,M
4359690,OPEL,M1,M1,Petrol,M
4359698,OPEL,M1,M1,Petrol,M
4359703,OPEL,M1,M1,Petrol,M
4318244,SEAT,M1,M1,PETROL,M
4317400,SEAT,M1,M1,PETROL,M
4319114,SEAT,M1,M1,PETROL,M
4319188,SEAT,M1,M1,PETROL,M
4317741,SEAT,M1,M1,PETROL,M
4317571,SEAT,M1,M1,PETROL,M
4318626,SEAT,M1,M1,PETROL,M
4318658,SEAT,M1,M1,PETROL,M
4318044,SEAT,M1,M1,PETROL,M
4317676,SEAT,M1,M1,PETROL,M
4318019,SEAT,M1,M1,PETROL,M
4318620,SEAT,M1,M1,PETROL,M
4317733,SEAT,M1,M1,PETROL,M
4317641,SEAT,M1,M1,PETROL,M
4317757,SEAT,M1,M1,PETROL,M
4317778,SEAT,M1,M1,PETROL,M
4317872,SEAT,M1,M1,PETROL,M
4317797,SEAT,M1,M1,PETROL,M
4317803,SEAT,M1,M1,PETROL,M
4317866,SEAT,M1,M1,PETROL,M
4317816,SEAT,M1,M1,PETROL,M
4317935,SEAT,M1,M1,PETROL,M
4318988,SEAT,M1,M1,PETROL,M
4317510,SEAT,M1,M1,PETROL,M
4319026,SEAT,M1,M1,PETROL,M
4319019,SEAT,M1,M1,PETROL,M
4317528,SEAT,M1,M1,PETROL,M
4319010,SEAT,M1,M1,PETROL,M
4318162,SEAT,M1,M1,PETROL,M
4318111,SEAT,M1,M1,PETROL,M
4317700,SEAT,M1,M1,PETROL,M
4317487,SEAT,M1,M1,PETROL,M
4317578,SEAT,M1,M1,PETROL,M
4318980,SEAT,M1,M1,PETROL,M
4317595,SEAT,M1,M1,PETROL,M
4318591,SEAT,M1,M1,PETROL,M
4318964,SEAT,M1,M1,PETROL,M
4318139,SEAT,M1,M1,PETROL,M
4318129,SEAT,M1,M1,PETROL,M
4317549,SEAT,M1,M1,PETROL,M
4317123,SEAT,M1,M1,PETROL,M
4317116,SEAT,M1,M1,PETROL,M
4317170,SEAT,M1,M1,PETROL,M
4319330,SEAT,M1,M1,PETROL,M
4319491,SEAT,M1,M1,PETROL,M
4319294,SEAT,M1,M1,PETROL,M
4317155,SEAT,M1,M1,PETROL,M
4319483,SEAT,M1,M1,PETROL,M
4319277,SEAT,M1,M1,PETROL,M
4319402,SEAT,M1,M1,PETROL,M
4317137,SEAT,M1,M1,PETROL,M
4319314,SEAT,M1,M1,PETROL,M
4319322,SEAT,M1,M1,PETROL,M
4319411,SEAT,M1,M1,PETROL,M
4319370,SEAT,M1,M1,PETROL,M
4317130,SEAT,M1,M1,PETROL,M
2095249,SEAT,M1,M1,PETROL,M
2095243,SEAT,M1,M1,PETROL,M
