,ID,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Engine Capacity (cm3),Engine Power (KW)
70,1143044,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
71,1194941,1505.0,134.0,2712.0,1574.0,1577.0,1618.0,151.0
72,1194948,1505.0,134.0,2712.0,1574.0,1577.0,1618.0,151.0
73,1194955,1505.0,134.0,2712.0,1574.0,1577.0,1618.0,151.0
74,1194961,1505.0,134.0,2712.0,1574.0,1577.0,1618.0,151.0
75,1194969,1505.0,134.0,2712.0,1574.0,1577.0,1618.0,151.0
76,1194976,1505.0,134.0,2712.0,1574.0,1577.0,1618.0,151.0
77,1194979,1505.0,134.0,2712.0,1574.0,1577.0,1618.0,151.0
78,1194986,1505.0,134.0,2712.0,1574.0,1577.0,1618.0,151.0
79,1194995,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,66.0
80,1195004,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,66.0
81,1195010,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
82,1195019,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
83,1195027,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
84,1195034,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
85,1195040,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
86,1195046,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
87,1195053,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
88,1195060,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
89,1195068,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
90,1195075,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
91,1195080,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
92,1195092,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
93,1195105,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
94,1195113,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
95,1195123,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
96,1195133,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
97,1195138,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
98,1195146,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
99,1195153,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
100,1195160,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
101,1195167,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
102,1195175,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
103,1195183,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
104,1195192,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
105,1195198,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
106,1195203,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
107,1195213,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
108,1195221,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
109,1195226,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
110,1195234,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
111,1195244,1395.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
112,1195251,1443.0,98.0,2712.0,1574.0,1577.0,1461.0,81.0
113,1195258,1443.0,98.0,2712.0,1574.0,1577.0,1461.0,81.0
114,1195263,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
115,1195270,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
116,1195278,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
117,1195284,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
118,1195290,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
119,1195298,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
120,1195309,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
121,1195315,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
122,1195324,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
123,1195334,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
124,1195342,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
125,1195350,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
126,1195360,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
127,1195370,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
128,1195377,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
129,1195385,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
130,1195395,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
131,1195404,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
132,1195413,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
133,1195422,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
134,1195428,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
135,1195436,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
136,1195446,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
137,1195451,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
138,1195461,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
139,1195472,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
140,1195481,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
141,1195490,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
142,1195499,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
143,1195509,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
144,1195515,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
145,1195520,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
146,1195528,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
147,1195538,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
148,1195545,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
149,1195555,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
150,1195559,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
151,1195568,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
152,1195575,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
153,1195584,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
154,1195591,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
155,1195598,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
156,1195605,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
157,1195614,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
158,1195624,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
159,1195633,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
160,1195645,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
161,1195653,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
162,1195661,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
163,1195669,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
164,1195677,1387.0,95.0,2712.0,1580.0,1583.0,1461.0,81.0
165,1195686,1394.0,100.0,2712.0,1574.0,1577.0,1461.0,81.0
166,1195694,1394.0,100.0,2712.0,1574.0,1577.0,1461.0,81.0
167,1195702,1394.0,100.0,2712.0,1574.0,1577.0,1461.0,81.0
168,1195709,1394.0,100.0,2712.0,1574.0,1577.0,1461.0,81.0
169,1195716,1394.0,100.0,2712.0,1574.0,1577.0,1461.0,81.0
170,1195722,1469.0,103.0,2712.0,1580.0,1583.0,1598.0,96.0
171,1195731,1469.0,103.0,2712.0,1580.0,1583.0,1598.0,96.0
172,1195738,1469.0,103.0,2712.0,1580.0,1583.0,1598.0,96.0
173,1195746,1469.0,103.0,2712.0,1580.0,1583.0,1598.0,96.0
174,1195755,1469.0,103.0,2712.0,1580.0,1583.0,1598.0,96.0
175,1195763,1469.0,103.0,2712.0,1580.0,1583.0,1598.0,96.0
176,1195771,1469.0,103.0,2712.0,1580.0,1583.0,1598.0,96.0
177,1195781,1469.0,103.0,2712.0,1580.0,1583.0,1598.0,96.0
178,4359656,1394.0,140.0,2555.0,1541.0,1541.0,1364.0,103.0
179,4359663,1394.0,140.0,2555.0,1541.0,1541.0,1364.0,103.0
180,4359669,1394.0,140.0,2555.0,1541.0,1541.0,1364.0,103.0
181,4359676,1394.0,140.0,2555.0,1541.0,1541.0,1364.0,103.0
182,4359684,1409.0,149.0,2555.0,1541.0,1541.0,1364.0,103.0
183,4359690,1394.0,140.0,2555.0,1541.0,1541.0,1364.0,103.0
184,4359698,1394.0,140.0,2555.0,1541.0,1541.0,1364.0,103.0
185,4359703,1445.0,152.0,2555.0,1541.0,1541.0,1364.0,103.0
186,4318244,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
187,4317400,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
188,4319114,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
189,4319188,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
190,4317741,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
191,4317571,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
192,4318626,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
193,4318658,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
194,4318044,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
195,4317676,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
196,4318019,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
197,4318620,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
198,4317733,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
199,4317641,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
200,4317757,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
201,4317778,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
202,4317872,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
203,4317797,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
